Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 10/13/2021   10:43:23

Pixel   Wavelength(nm)    Intensity
 923         635.60       452
 924         636.00       480
 925         636.40       471
 926         636.81       445
 927         637.21       454
 928         637.61       449
 929         638.01       441
 930         638.42       429
 931         638.82       435
 932         639.22       433
 933         639.62       424
 934         640.03       422
 935         640.43       416
 936         640.83       418
 937         641.23       405
 938         641.64       401
 939         642.04       407
 940         642.44       398
 941         642.84       381
 942         643.25       368
 943         643.65       375
 944         644.05       376
 945         644.45       368
 946         644.86       359
 947         645.26       362
 948         645.66       358
 949         646.07       351
 950         646.47       337
 951         646.87       338
 952         647.28       347
 953         647.68       343
 954         648.08       334
 955         648.49       339
 956         648.89       338
 957         649.29       317
 958         649.69       319
 959         650.10       320
 960         650.50       318
 961         650.91       305
 962         651.31       304
 963         651.71       317
 964         652.12       315
 965         652.52       303
 966         652.92       297
 967         653.33       298
 968         653.73       310
 969         654.13       290
 970         654.54       292
 971         654.94       287
 972         655.34       289
 973         655.75       283
 974         656.15       290
 975         656.56       277
 976         656.96       284
 977         657.36       285
 978         657.77       273
 979         658.17       279
 980         658.58       278
 981         658.98       269
 982         659.38       267
 983         659.79       264
 984         660.19       283
 985         660.60       271
 986         661.00       272
 987         661.41       267
 988         661.81       270
 989         662.21       254
 990         662.62       254
 991         663.02       254
 992         663.43       262
 993         663.83       256
 994         664.24       242
 995         664.64       253
 996         665.05       240
 997         665.45       236
 998         665.86       242
 999         666.26       224
1000         666.67       228
1001         667.07       233
1002         667.48       227
1003         667.88       224
1004         668.28       227
1005         668.69       217
1006         669.09       206
1007         669.50       208
1008         669.90       202
1009         670.31       199
1010         670.72       200
1011         671.12       197
1012         671.53       195
1013         671.93       188
1014         672.34       186
1015         672.74       189
1016         673.15       195
1017         673.55       182
1018         673.96       178
1019         674.36       173
1020         674.77       174
1021         675.17       174
1022         675.58       172
1023         675.98       173
1024         676.39       172
1025         676.80       167
1026         677.20       169
1027         677.61       162
1028         678.01       167
1029         678.42       161
1030         678.82       163
1031         679.23       161
1032         679.64       158
1033         680.04       159
1034         680.45       157
1035         680.85       147
1036         681.26       151
1037         681.67       160
1038         682.07       153
1039         682.48       146
1040         682.88       140
1041         683.29       146
1042         683.70       147
1043         684.10       146
1044         684.51       148
1045         684.92       147
1046         685.32       141
1047         685.73       140
1048         686.13       140
1049         686.54       137
1050         686.95       130
1051         687.35       129
1052         687.76       134
1053         688.17       132
1054         688.57       128
1055         688.98       125
1056         689.39       127
1057         689.79       126
1058         690.20       120
1059         690.61       118
1060         691.01       126
1061         691.42       115
1062         691.83       123
1063         692.23       112
1064         692.64       113
1065         693.05       118
1066         693.45       113
1067         693.86       112
1068         694.27       111
1069         694.68       111
1070         695.08       105
1071         695.49       105
1072         695.90       113
1073         696.30       106
1074         696.71       110
1075         697.12       108
1076         697.53       105
1077         697.93       102
1078         698.34       101
1079         698.75       101
1080         699.16        93
1081         699.56       110
1082         699.97       100
1083         700.38        98
1084         700.79       100
1085         701.19        93
1086         701.60        90
1087         702.01        91
1088         702.42        99
1089         702.82        86
1090         703.23        93
1091         703.64        91
1092         704.05        86
1093         704.46        89
1094         704.86        87
1095         705.27        91
1096         705.68        83
1097         706.09        84
1098         706.49        90
1099         706.90        98
1100         707.31        84
1101         707.72        87
1102         708.13        83
1103         708.54        73
1104         708.94        79
1105         709.35        78
1106         709.76        83
1107         710.17        81
1108         710.58        77
1109         710.98        79
1110         711.39        80
1111         711.80        77
1112         712.21        71
1113         712.62        73
1114         713.03        76
1115         713.44        78
1116         713.84        74
1117         714.25        72
1118         714.66        72
1119         715.07        66
1120         715.48        74
1121         715.89        74
1122         716.30        79
1123         716.70        67
1124         717.11        68
1125         717.52        63
1126         717.93        65
1127         718.34        69
1128         718.75        66
1129         719.16        68
1130         719.57        69
1131         719.98        63
1132         720.39        64
1133         720.79        62
1134         721.20        57
1135         721.61        67
1136         722.02        72
1137         722.43        60
1138         722.84        62
1139         723.25        57
1140         723.66        63
1141         724.07        64
1142         724.48        63
1143         724.89        66
1144         725.30        55
1145         725.71        58
1146         726.12        59
1147         726.52        54
1148         726.93        56
1149         727.34        60
1150         727.75        62
1151         728.16        54
1152         728.57        57
1153         728.98        61
1154         729.39        58
1155         729.80        63
1156         730.21        56
1157         730.62        55
1158         731.03        57
1159         731.44        52
1160         731.85        60
1161         732.26        57
1162         732.67        50
1163         733.08        49
1164         733.49        53
1165         733.90        50
1166         734.31        56
1167         734.72        52
1168         735.13        50
1169         735.54        53
1170         735.95        51
1171         736.36        50
1172         736.77        51
1173         737.18        55
1174         737.59        50
1175         738.00        53
1176         738.41        53
1177         738.82        55
1178         739.23        56
1179         739.64        51
1180         740.05        53
1181         740.47        50
1182         740.88        50
1183         741.29        53
1184         741.70        52
1185         742.11        47
1186         742.52        53
1187         742.93        48
1188         743.34        56
1189         743.75        48
1190         744.16        44
1191         744.57        45
1192         744.98        48
1193         745.39        50
1194         745.80        50
1195         746.22        53
1196         746.63        49
1197         747.04        49
1198         747.45        56
1199         747.86        54
1200         748.27        47
1201         748.68        46
1202         749.09        50
1203         749.50        45
1204         749.91        47
1205         750.33        48
1206         750.74        45
1207         751.15        53
1208         751.56        50
1209         751.97        47
1210         752.38        48
1211         752.79        44
1212         753.20        44
1213         753.62        53
1214         754.03        46
1215         754.44        47
1216         754.85        51
1217         755.26        53
1218         755.67        50
1219         756.09        51
1220         756.50        46
1221         756.91        47
1222         757.32        50
1223         757.73        53
1224         758.14        44
1225         758.56        44
1226         758.97        55
1227         759.38        51
1228         759.79        45
1229         760.20        50
1230         760.61        49
1231         761.03        43
1232         761.44        47
1233         761.85        46
1234         762.26        47
1235         762.67        46
1236         763.09        45
1237         763.50        43
1238         763.91        45
1239         764.32        50
1240         764.73        49
1241         765.15        49
1242         765.56        46
1243         765.97        51
1244         766.38        45
1245         766.80        54
1246         767.21        48
1247         767.62        45
1248         768.03        48
1249         768.45        37
1250         768.86        45
1251         769.27        44
1252         769.68        49
1253         770.10        47
1254         770.51        43
1255         770.92        47
1256         771.33        43
1257         771.75        42
1258         772.16        53
1259         772.57        41
1260         772.98        47
1261         773.40        46
1262         773.81        42
1263         774.22        47
1264         774.63        46
1265         775.05        45
1266         775.46        44
1267         775.87        49
1268         776.29        39
1269         776.70        47
1270         777.11        46
1271         777.52        47
1272         777.94        38
1273         778.35        36
1274         778.76        42
1275         779.18        41
1276         779.59        41
1277         780.00        40
1278         780.42        45
1279         780.83        41
1280         781.24        43
1281         781.66        40
1282         782.07        42
1283         782.48        41
1284         782.90        40
1285         783.31        43
1286         783.72        44
1287         784.14        37
1288         784.55        39
1289         784.96        40
1290         785.38        39
1291         785.79        42
1292         786.20        38
1293         786.62        38
1294         787.03        38
