Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 10/13/2021   10:45:57

Pixel   Wavelength(nm)    Intensity
 941         642.84        35
 942         643.25        39
 943         643.65        38
 944         644.05        43
 945         644.45        37
 946         644.86        40
 947         645.26        40
 948         645.66        38
 949         646.07        35
 950         646.47        41
 951         646.87        40
 952         647.28        37
 953         647.68        35
 954         648.08        39
 955         648.49        39
 956         648.89        36
 957         649.29        40
 958         649.69        36
 959         650.10        39
 960         650.50        42
 961         650.91        44
 962         651.31        45
 963         651.71        37
 964         652.12        39
 965         652.52        44
 966         652.92        41
 967         653.33        40
 968         653.73        38
 969         654.13        45
 970         654.54        41
 971         654.94        36
 972         655.34        43
 973         655.75        39
 974         656.15        43
 975         656.56        40
 976         656.96        40
 977         657.36        49
 978         657.77        40
 979         658.17        48
 980         658.58        47
 981         658.98        47
 982         659.38        45
 983         659.79        39
 984         660.19        43
 985         660.60        46
 986         661.00        44
 987         661.41        40
 988         661.81        42
 989         662.21        45
 990         662.62        48
 991         663.02        49
 992         663.43        56
 993         663.83        48
 994         664.24        47
 995         664.64        46
 996         665.05        42
 997         665.45        49
 998         665.86        39
 999         666.26        49
1000         666.67        45
1001         667.07        41
1002         667.48        42
1003         667.88        42
1004         668.28        44
1005         668.69        40
1006         669.09        47
1007         669.50        45
1008         669.90        40
1009         670.31        44
1010         670.72        40
1011         671.12        42
1012         671.53        43
1013         671.93        46
1014         672.34        41
1015         672.74        46
1016         673.15        43
1017         673.55        44
1018         673.96        44
1019         674.36        46
1020         674.77        45
1021         675.17        45
1022         675.58        37
1023         675.98        45
1024         676.39        41
1025         676.80        46
1026         677.20        46
1027         677.61        36
1028         678.01        44
1029         678.42        46
1030         678.82        44
1031         679.23        48
1032         679.64        43
1033         680.04        44
1034         680.45        44
1035         680.85        43
1036         681.26        41
1037         681.67        44
1038         682.07        40
1039         682.48        43
1040         682.88        40
1041         683.29        43
1042         683.70        46
1043         684.10        43
1044         684.51        42
1045         684.92        43
1046         685.32        43
1047         685.73        36
1048         686.13        42
1049         686.54        42
1050         686.95        46
1051         687.35        47
1052         687.76        39
1053         688.17        37
1054         688.57        38
1055         688.98        47
1056         689.39        38
1057         689.79        42
1058         690.20        47
1059         690.61        40
1060         691.01        39
1061         691.42        41
1062         691.83        51
1063         692.23        41
1064         692.64        41
1065         693.05        40
1066         693.45        41
1067         693.86        41
1068         694.27        40
1069         694.68        37
1070         695.08        39
1071         695.49        37
1072         695.90        43
1073         696.30        36
1074         696.71        37
1075         697.12        41
1076         697.53        36
1077         697.93        40
1078         698.34        41
1079         698.75        44
1080         699.16        34
1081         699.56        44
1082         699.97        34
1083         700.38        42
1084         700.79        32
1085         701.19        36
1086         701.60        45
1087         702.01        37
1088         702.42        43
1089         702.82        34
1090         703.23        39
1091         703.64        34
1092         704.05        42
1093         704.46        35
1094         704.86        41
1095         705.27        36
1096         705.68        35
1097         706.09        40
1098         706.49        40
1099         706.90        47
1100         707.31        31
1101         707.72        33
1102         708.13        41
1103         708.54        34
1104         708.94        34
1105         709.35        41
1106         709.76        37
1107         710.17        36
1108         710.58        36
1109         710.98        35
1110         711.39        33
1111         711.80        36
1112         712.21        37
1113         712.62        29
1114         713.03        37
1115         713.44        37
1116         713.84        39
1117         714.25        33
1118         714.66        37
1119         715.07        39
1120         715.48        32
1121         715.89        40
1122         716.30        34
1123         716.70        37
1124         717.11        37
1125         717.52        39
1126         717.93        36
1127         718.34        41
1128         718.75        37
1129         719.16        38
1130         719.57        33
1131         719.98        34
1132         720.39        38
1133         720.79        29
1134         721.20        35
1135         721.61        37
1136         722.02        36
1137         722.43        35
1138         722.84        37
1139         723.25        36
1140         723.66        39
1141         724.07        33
1142         724.48        34
1143         724.89        43
1144         725.30        33
1145         725.71        37
1146         726.12        30
1147         726.52        38
1148         726.93        36
1149         727.34        37
1150         727.75        41
1151         728.16        30
1152         728.57        35
1153         728.98        36
1154         729.39        36
1155         729.80        37
1156         730.21        37
1157         730.62        35
1158         731.03        35
1159         731.44        36
1160         731.85        44
1161         732.26        36
1162         732.67        38
1163         733.08        42
1164         733.49        41
1165         733.90        37
1166         734.31        37
1167         734.72        38
1168         735.13        38
1169         735.54        39
1170         735.95        42
1171         736.36        38
1172         736.77        43
1173         737.18        38
1174         737.59        40
1175         738.00        43
1176         738.41        40
1177         738.82        40
1178         739.23        39
1179         739.64        37
1180         740.05        37
1181         740.47        43
1182         740.88        41
1183         741.29        40
1184         741.70        41
1185         742.11        42
1186         742.52        41
1187         742.93        34
1188         743.34        43
1189         743.75        43
1190         744.16        45
1191         744.57        46
1192         744.98        37
1193         745.39        38
1194         745.80        39
1195         746.22        40
1196         746.63        43
1197         747.04        43
1198         747.45        38
1199         747.86        43
1200         748.27        44
1201         748.68        40
1202         749.09        36
1203         749.50        38
1204         749.91        42
1205         750.33        34
1206         750.74        43
1207         751.15        42
1208         751.56        40
1209         751.97        39
1210         752.38        43
1211         752.79        47
1212         753.20        42
1213         753.62        44
1214         754.03        39
1215         754.44        42
1216         754.85        44
1217         755.26        44
1218         755.67        38
1219         756.09        41
1220         756.50        41
1221         756.91        42
1222         757.32        42
1223         757.73        41
1224         758.14        42
1225         758.56        44
1226         758.97        40
1227         759.38        43
1228         759.79        40
1229         760.20        38
1230         760.61        45
1231         761.03        41
1232         761.44        46
1233         761.85        44
1234         762.26        39
1235         762.67        39
1236         763.09        36
1237         763.50        46
1238         763.91        41
1239         764.32        35
1240         764.73        41
1241         765.15        40
1242         765.56        38
1243         765.97        39
1244         766.38        44
1245         766.80        44
1246         767.21        39
1247         767.62        42
1248         768.03        37
1249         768.45        38
1250         768.86        38
1251         769.27        42
1252         769.68        38
1253         770.10        39
1254         770.51        41
1255         770.92        33
1256         771.33        39
1257         771.75        42
1258         772.16        39
1259         772.57        40
1260         772.98        42
1261         773.40        39
1262         773.81        36
1263         774.22        36
1264         774.63        36
1265         775.05        29
1266         775.46        37
1267         775.87        40
1268         776.29        37
1269         776.70        35
1270         777.11        41
1271         777.52        42
1272         777.94        40
1273         778.35        33
1274         778.76        37
1275         779.18        38
1276         779.59        35
1277         780.00        40
1278         780.42        35
1279         780.83        39
1280         781.24        39
1281         781.66        33
1282         782.07        42
1283         782.48        40
1284         782.90        39
1285         783.31        36
1286         783.72        38
1287         784.14        32
1288         784.55        36
1289         784.96        35
1290         785.38        37
1291         785.79        35
1292         786.20        36
1293         786.62        34
1294         787.03        33
1295         787.44        42
1296         787.86        38
1297         788.27        36
1298         788.69        34
1299         789.10        37
1300         789.51        31
1301         789.93        31
1302         790.34        36
1303         790.75        34
1304         791.17        32
1305         791.58        36
1306         792.00        36
1307         792.41        41
1308         792.82        36
1309         793.24        35
1310         793.65        35
1311         794.07        38
1312         794.48        39
1313         794.89        40
1314         795.31        36
1315         795.72        38
1316         796.14        39
1317         796.55        35
1318         796.96        38
1319         797.38        34
1320         797.79        37
1321         798.21        38
1322         798.62        35
1323         799.04        35
1324         799.45        42
1325         799.86        38
1326         800.28        35
1327         800.69        40
1328         801.11        37
1329         801.52        38
1330         801.94        33
1331         802.35        36
1332         802.77        36
1333         803.18        32
1334         803.59        43
1335         804.01        36
1336         804.42        40
1337         804.84        40
1338         805.25        36
1339         805.67        38
1340         806.08        36
1341         806.50        33
1342         806.91        34
1343         807.33        38
1344         807.74        37
1345         808.16        38
1346         808.57        38
1347         808.99        47
1348         809.40        39
1349         809.82        42
1350         810.23        44
1351         810.65        42
1352         811.06        39
1353         811.48        41
1354         811.89        38
1355         812.31        45
1356         812.72        39
1357         813.14        35
1358         813.55        44
1359         813.97        43
1360         814.38        40
1361         814.80        37
1362         815.21        42
1363         815.63        44
1364         816.04        41
1365         816.46        52
1366         816.87        39
1367         817.29        47
1368         817.70        39
1369         818.12        37
1370         818.54        43
1371         818.95        41
1372         819.37        40
1373         819.78        45
1374         820.20        44
1375         820.61        46
1376         821.03        43
1377         821.44        37
1378         821.86        39
1379         822.28        38
1380         822.69        45
1381         823.11        42
1382         823.52        40
1383         823.94        40
1384         824.35        39
1385         824.77        50
1386         825.19        46
1387         825.60        41
1388         826.02        43
1389         826.43        50
1390         826.85        44
1391         827.26        47
1392         827.68        40
1393         828.10        42
1394         828.51        41
1395         828.93        46
1396         829.34        41
1397         829.76        41
1398         830.18        41
1399         830.59        39
1400         831.01        41
1401         831.43        42
1402         831.84        41
1403         832.26        44
1404         832.67        40
1405         833.09        44
1406         833.51        38
1407         833.92        41
1408         834.34        39
1409         834.76        39
1410         835.17        41
1411         835.59        36
1412         836.00        49
1413         836.42        42
1414         836.84        39
1415         837.25        39
1416         837.67        43
1417         838.09        40
1418         838.50        41
1419         838.92        37
1420         839.34        37
1421         839.75        44
1422         840.17        39
1423         840.59        38
1424         841.00        34
1425         841.42        38
1426         841.84        37
1427         842.25        39
1428         842.67        40
1429         843.09        46
1430         843.50        34
1431         843.92        40
1432         844.34        51
1433         844.75        31
1434         845.17        38
1435         845.59        43
1436         846.00        37
1437         846.42        39
1438         846.84        41
1439         847.25        42
1440         847.67        35
1441         848.09        46
1442         848.51        39
1443         848.92        37
1444         849.34        35
1445         849.76        35
1446         850.17        40
1447         850.59        39
1448         851.01        39
1449         851.43        38
1450         851.84        38
1451         852.26        36
1452         852.68        39
1453         853.09        36
1454         853.51        36
1455         853.93        40
1456         854.35        35
1457         854.76        37
1458         855.18        37
1459         855.60        34
1460         856.02        38
1461         856.43        33
1462         856.85        39
1463         857.27        34
1464         857.69        33
1465         858.10        34
1466         858.52        33
1467         858.94        35
1468         859.36        37
1469         859.77        34
1470         860.19        36
1471         860.61        35
1472         861.03        31
1473         861.44        34
1474         861.86        31
1475         862.28        37
1476         862.70        33
1477         863.12        35
1478         863.53        26
1479         863.95        35
1480         864.37        34
1481         864.79        33
1482         865.20        33
1483         865.62        34
1484         866.04        40
