Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 10/13/2021   10:45:15

Pixel   Wavelength(nm)    Intensity
1339         805.67        41
1340         806.08        37
1341         806.50        43
1342         806.91        41
1343         807.33        39
1344         807.74        38
1345         808.16        47
1346         808.57        43
1347         808.99        42
1348         809.40        40
1349         809.82        40
1350         810.23        47
1351         810.65        43
1352         811.06        45
1353         811.48        43
1354         811.89        42
1355         812.31        43
1356         812.72        44
1357         813.14        48
1358         813.55        43
1359         813.97        39
1360         814.38        40
1361         814.80        47
1362         815.21        46
1363         815.63        44
1364         816.04        48
1365         816.46        47
1366         816.87        51
1367         817.29        51
1368         817.70        45
1369         818.12        46
1370         818.54        43
1371         818.95        47
1372         819.37        42
1373         819.78        48
1374         820.20        45
1375         820.61        48
1376         821.03        42
1377         821.44        51
1378         821.86        49
1379         822.28        43
1380         822.69        44
1381         823.11        47
1382         823.52        50
1383         823.94        52
1384         824.35        50
1385         824.77        46
1386         825.19        50
1387         825.60        43
1388         826.02        44
1389         826.43        41
1390         826.85        49
1391         827.26        49
1392         827.68        42
1393         828.10        47
1394         828.51        48
1395         828.93        43
1396         829.34        49
1397         829.76        48
1398         830.18        42
1399         830.59        45
1400         831.01        45
1401         831.43        43
1402         831.84        46
1403         832.26        37
1404         832.67        46
1405         833.09        40
1406         833.51        43
1407         833.92        43
1408         834.34        43
1409         834.76        46
1410         835.17        45
1411         835.59        44
1412         836.00        44
1413         836.42        48
1414         836.84        45
1415         837.25        40
1416         837.67        43
1417         838.09        40
1418         838.50        42
1419         838.92        43
1420         839.34        43
1421         839.75        45
1422         840.17        42
1423         840.59        36
1424         841.00        43
1425         841.42        41
1426         841.84        47
1427         842.25        35
1428         842.67        43
1429         843.09        41
1430         843.50        38
1431         843.92        41
1432         844.34        42
1433         844.75        39
1434         845.17        46
1435         845.59        41
1436         846.00        42
1437         846.42        33
1438         846.84        44
1439         847.25        47
1440         847.67        39
1441         848.09        32
1442         848.51        34
1443         848.92        38
1444         849.34        37
1445         849.76        29
1446         850.17        38
1447         850.59        40
1448         851.01        36
1449         851.43        40
1450         851.84        36
1451         852.26        39
1452         852.68        37
1453         853.09        33
1454         853.51        36
1455         853.93        33
1456         854.35        36
1457         854.76        35
1458         855.18        35
1459         855.60        34
1460         856.02        37
1461         856.43        35
1462         856.85        35
1463         857.27        27
1464         857.69        36
1465         858.10        30
1466         858.52        38
1467         858.94        32
1468         859.36        37
1469         859.77        37
1470         860.19        39
1471         860.61        33
1472         861.03        37
1473         861.44        31
1474         861.86        34
1475         862.28        34
1476         862.70        34
1477         863.12        34
1478         863.53        34
1479         863.95        37
1480         864.37        34
1481         864.79        39
1482         865.20        43
1483         865.62        31
1484         866.04        35
1485         866.46        32
1486         866.88        38
1487         867.29        33
1488         867.71        30
1489         868.13        35
1490         868.55        33
1491         868.97        38
1492         869.38        39
1493         869.80        36
1494         870.22        32
1495         870.64        40
